eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1538,77,18,p33f28,Datafile processing p33f28 Block 5 event 18,Bri,Esy,Lft,Horz,Vert,62,0.31,382,39,35,31,18.6284394691591,47,61,Correct,Incorrect,1.01326450133399,274.398019082298,0.3,0.14,1.01326450133399,-0.00198208596150592,111.575850171649,0.766666666666667,-108.033299946478,252.078871197032
1539,77,19,p33f28,Datafile processing p33f28 Block 5 event 19,Bri,Hrd,Rgt,Vert,Horz,59,0.3,353,35,30,29,17.9251421507657,46,59,Correct,Correct,1.04232115600092,260.165140028006,0.3,0.13,1.04232115600092,-0.071008946074306,113.168477525572,0.766666666666667,147.078486321636,214.453178042686
1540,77,20,p33f28,Datafile processing p33f28 Block 5 event 20,Bri,Esy,Lft,Vert,Horz,66,0.3,370,41,35,32,16.332061455884,49,66,Correct,Incorrect,1.0151535127051,264.923550789918,0.34,0.17,1.0151535127051,-0.0308648378976796,121.519903642725,0.852941176470588,-145.806894324995,221.028066724638
1541,78,1,p33f28,Datafile processing p33f28 Block 6 event 1,Drk,Hrd,Rgt,Horz,Horz,65,0.34,384,38,35,33,21.8077907764101,49,64,Correct,Correct,1.03954084888216,327.233332937203,0.31,0.15,1.03954084888216,-0.0699571719686431,106.926837451339,0.774193548387097,191.052916925875,263.045819140639
1542,78,2,p33f28,Datafile processing p33f28 Block 6 event 2,Drk,Esy,Lft,Vert,Horz,62,0.32,364,39,36,32,18.8717169078371,49,64,Correct,Correct,1.03049180397633,269.194191637601,0.32,0.15,1.03049180397633,-0.0325736114944706,125.265440888067,0.84375,-151.772189038405,221.572944867462
1543,78,3,p33f28,Datafile processing p33f28 Block 6 event 3,Drk,Esy,Rgt,Vert,Horz,60,0.29,350,35,31,30,15.5059475210831,46,60,Correct,Correct,1.06304250115068,253.35925351913,0.3,0.14,1.06304250115068,-0.101999985469875,117.683455435207,0.766666666666667,153.513222763498,201.316126662779
1544,78,4,p33f28,Datafile processing p33f28 Block 6 event 4,Drk,Hrd,Lft,Vert,Horz,69,0.26,335,34,29,28,15.3294804136544,47,69,Correct,Incorrect,1.21841463141757,272.902527604242,0.41,0.22,1.21841463141757,0.164372970879939,128.129306587486,0.853658536585366,-148.967903855398,228.468162815169
1545,78,5,p33f28,Datafile processing p33f28 Block 6 event 5,Drk,Bas,Rgt,Horz,Miss,65,0.32,352,37,33,32,19.7785873627563,49,64,Correct,Correct,1.03517574966909,315.027426654872,0.32,0.15,1.03517574966909,-0.0653426689923998,115.012544476531,0.75,168.433788176281,265.53584171823
1546,78,6,p33f28,Datafile processing p33f28 Block 6 event 6,Drk,Esy,Rgt,Horz,Horz,65,0.32,351,37,33,31,19.8852618031685,48,64,Correct,Correct,1.03442172840394,316.111529632151,0.33,0.16,1.03442172840394,-0.0611049401851513,111.380708576487,0.727272727272727,178.300426313832,260.063365007347
1547,78,7,p33f28,Datafile processing p33f28 Block 6 event 7,Drk,Hrd,Rgt,Vert,Vert,67,0.35,408,41,37,35,14.893168529685,53,67,Correct,Correct,1.06470614949691,240.148673825215,0.32,0.14,1.06470614949691,-0.0947127341786674,114.338852416936,0.78125,144.577083050636,191.646970679691
