eventnumber,filenumber,event,pname,eventlabel,Brightness,Difficulty,TSide,TFeature,DFeature,ymaxframe,RT,ButtonRT,abvelthreshold,Vmax5percent,VthresholdGC,Vmax,VmaxMT,stoptime,mainreach,initreach,pathlengthnorm,pathlengthmm,movetime,deceltime,normlength,AUC,maxaperture,maxaptime,stopX,stopY
1511,95,7,p13f19,Datafile processing p13f19 Block 5 event 7,Bri,Esy,Rgt,Vert,Horz,80,0.28,0,37,32,32,11.2954918283087,46,81,Correct,Correct,1.02090438196212,250.020178051568,0.49,0.35,1.02090438196212,-0.0391471049765646,92.2147077843285,0.63265306122449,140.453623177753,203.223419416321
1512,95,8,p13f19,Datafile processing p13f19 Block 5 event 8,Bri,Hrd,Rgt,Horz,Horz,113,0.45,0,59,50,49,9.80400913529292,71,104,Incorrect,Incorrect,1.00817150766094,269.532906976514,0.55,0.33,1.00817150766094,0.019602123550783,88.9059762798089,0.836363636363636,-104.511702414973,246.091459676215
1513,95,9,p13f19,Datafile processing p13f19 Block 5 event 9,Bri,Hrd,Rgt,Horz,Vert,118,0.68,0,76,72,71,13.3818943902764,88,117,Correct,Correct,1.00327414720559,307.659689980631,0.46,0.29,1.00327414720559,-0.00416576503297608,89.0181293339903,0.782608695652174,190.619750634872,237.320498460987
1514,95,10,p13f19,Datafile processing p13f19 Block 5 event 10,Bri,Hrd,Lft,Horz,Horz,87,0.36,0,47,40,38,10.702295741221,57,86,Correct,Correct,1.00196336014118,259.794575980299,0.48,0.29,1.00196336014118,0.00913302098199375,88.5249969286934,0.770833333333333,-89.9210924415027,240.583230297685
1515,95,11,p13f19,Datafile processing p13f19 Block 5 event 11,Bri,Esy,Lft,Vert,Horz,94,0.32,0,43,36,36,10.3228417777038,54,90,Correct,Correct,1.00266796258218,270.665542984748,0.54,0.36,1.00266796258218,0.00637265024674723,95.5554344822008,0.851851851851852,-147.711433774388,224.021494828256
1516,95,12,p13f19,Datafile processing p13f19 Block 5 event 12,Bri,Hrd,Rgt,Vert,Vert,91,0.42,0,50,45,44,10.7475811453582,58,90,Correct,Correct,1.0173516302059,251.158880781129,0.46,0.32,1.0173516302059,-0.0513972914983632,94.8808324523453,0.739130434782609,153.139347769172,196.413437801447
1517,95,13,p13f19,Datafile processing p13f19 Block 5 event 13,Bri,Esy,Lft,Horz,Vert,87,0.37,0,48,41,40,10.2601183334888,59,87,Correct,Correct,1.0034470100616,264.876456148779,0.47,0.28,1.0034470100616,0.0101136743282696,86.6312987344014,0.787234042553192,-96.0664650541711,242.888288144714
1518,95,14,p13f19,Datafile processing p13f19 Block 5 event 14,Bri,Hrd,Lft,Horz,Vert,97,0.42,0,53,47,46,11.2489610112673,65,94,Correct,Correct,1.00927528704227,275.960167250916,0.48,0.29,1.00927528704227,0.0292340784911082,88.194749914427,0.729166666666667,-97.835293848194,254.685678388966
1519,95,15,p13f19,Datafile processing p13f19 Block 5 event 15,Bri,Esy,Rgt,Horz,Horz,86,0.32,0,40,35,34,12.9275042146077,50,83,Correct,Correct,1.00831219049903,305.818853584911,0.49,0.33,1.00831219049903,-0.0345238510690135,88.4850920069871,0.73469387755102,193.181696441415,232.97662564952
1520,95,16,p13f19,Datafile processing p13f19 Block 5 event 16,Bri,Esy,Lft,Horz,Horz,85,0.34,0,45,38,37,11.0198782526277,56,85,Correct,Correct,1.00160260225256,270.389835996862,0.48,0.29,1.00160260225256,0.000608855377292688,89.8353919222194,0.75,-85.1830058200331,253.81880425886
